1515179947,1000.000000,1000, 0,0.0024,0.0043,0.0031,0,0.0, 1,-0.0014,-0.0004,-0.0009,0,0.0, 2,0.0023,0.0040,0.0031,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7407,4.7746,4.7513,0,0.0, 5,0.0096,4.7792,4.2969,1,1.0, 6,0.1515,0.1543,0.1531,0,0.0, 7,-4.4523,-4.4246,-4.4389,0,0.0
1515179953,1000.000000,1000, 0,0.0024,0.0040,0.0031,0,0.0, 1,-0.0013,-0.0003,-0.0009,0,0.0, 2,0.0024,0.0037,0.0031,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7400,4.7696,4.7514,0,0.0, 5,0.0096,4.7771,4.3726,1,1.0, 6,0.1514,0.1546,0.1530,0,0.0, 7,-4.6100,-4.5820,-4.5976,0,0.0
1515179959,1000.000000,1000, 0,0.0023,0.0040,0.0031,0,0.0, 1,-0.0014,-0.0003,-0.0009,0,0.0, 2,0.0023,0.0038,0.0031,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7398,4.7691,4.7516,0,0.0, 5,0.0096,4.7778,4.4307,1,1.0, 6,0.1515,0.1539,0.1529,0,0.0, 7,-4.7656,-4.7417,-4.7539,0,0.0
1515179965,1000.000000,1000, 0,0.0024,0.0038,0.0031,0,0.0, 1,-0.0013,-0.0003,-0.0009,0,0.0, 2,0.0024,0.0037,0.0031,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7392,4.7655,4.7509,0,0.0, 5,0.0096,4.7748,4.4628,1,1.0, 6,0.1514,0.1546,0.1533,0,0.0, 7,-4.9246,-4.8970,-4.9117,0,0.0
1515179971,1000.000000,1000, 0,0.0023,0.0041,0.0031,0,0.0, 1,-0.0013,-0.0003,-0.0009,0,0.0, 2,0.0024,0.0040,0.0031,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7377,4.7693,4.7508,0,0.0, 5,0.0096,4.7827,4.4958,1,1.0, 6,0.1517,0.1541,0.1531,0,0.0, 7,4.9211,4.9452,4.9325,0,0.0
1515179978,1000.000000,1000, 0,0.0021,0.0035,0.0031,0,0.0, 1,-0.0014,-0.0003,-0.0009,0,0.0, 2,0.0023,0.0037,0.0031,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7366,4.7670,4.7504,0,0.0, 5,0.0096,4.7731,4.2915,2,2.0, 6,0.1519,0.1546,0.1532,0,0.0, 7,4.7520,4.7908,4.7762,0,0.0
1515179984,1000.000000,1000, 0,0.0024,0.0038,0.0031,0,0.0, 1,-0.0014,-0.0003,-0.0009,0,0.0, 2,0.0024,0.0037,0.0031,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7395,4.7662,4.7502,0,0.0, 5,0.0096,4.7722,4.3291,2,2.0, 6,0.1516,0.1545,0.1529,0,0.0, 7,4.6001,4.6348,4.6196,0,0.0
1515179990,1000.000000,1000, 0,0.0023,0.0038,0.0031,0,0.0, 1,-0.0014,-0.0003,-0.0010,0,0.0, 2,0.0023,0.0037,0.0031,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7382,4.7673,4.7501,0,0.0, 5,0.0096,4.7780,4.3623,2,2.0, 6,0.1519,0.1547,0.1535,0,0.0, 7,4.4452,4.4781,4.4655,0,0.0
1515179996,1000.000000,1000, 0,0.0024,0.0038,0.0032,0,0.0, 1,-0.0014,-0.0004,-0.0010,0,0.0, 2,0.0024,0.0037,0.0031,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7406,4.7665,4.7505,0,0.0, 5,0.0096,4.7717,4.3908,2,2.0, 6,0.1520,0.1541,0.1531,0,0.0, 7,4.2927,4.3254,4.3107,0,0.0
1515180002,1000.000000,1000, 0,0.0024,0.0038,0.0032,0,0.0, 1,-0.0015,-0.0004,-0.0011,0,0.0, 2,0.0024,0.0038,0.0032,0,0.0, 3,-0.8275,-0.8274,-0.8275,0,0.0, 4,4.7360,4.7638,4.7481,0,0.0, 5,0.0096,4.7690,4.4173,2,2.0, 6,0.1520,0.1541,0.1532,0,0.0, 7,4.1412,4.1691,4.1560,0,0.0
